name,val,date
Carmack Lot - 5,85.0,2019-09-12 15:46:49
Buckeye Lot,68.0,2019-09-12 15:46:49
SAFEAUTO,45.0,2019-09-12 18:17:43
12th Avenue,58.0,2019-09-12 18:17:43
9th Avenue East,35.0,2019-09-12 18:17:43
9th Avenue West,35.0,2019-09-12 18:17:43
North Cannon,50.0,2019-09-12 18:17:43
South Cannon,46.0,2019-09-12 18:17:43
Ohio Union North,27.0,2019-09-12 18:17:43
Ohio Union South,21.0,2019-09-12 18:17:43
Gateway,44.0,2019-09-12 18:17:43
11th Avenue,27.0,2019-09-12 18:17:43
Neil Avenue,33.0,2019-09-12 18:17:43
Tuttle,36.0,2019-09-12 18:17:43
Northwest,26.0,2019-09-12 18:17:43
Arps Hall,33.0,2019-09-12 18:17:43
Lane Avenue,45.0,2019-09-12 18:17:43
West Lane Avenue,47.0,2019-09-12 18:17:43
Carmack Lot - 1,19.0,2019-09-12 18:17:43
Carmack Lot - 2/3,11.0,2019-09-12 18:17:43
Carmack Lot - 4,19.0,2019-09-12 18:17:43
Carmack Lot - 5,44.0,2019-09-12 18:17:43
Buckeye Lot,22.0,2019-09-12 18:17:43
SAFEAUTO,46.0,2019-09-12 17:47:32
12th Avenue,57.0,2019-09-12 17:47:32
9th Avenue East,39.0,2019-09-12 17:47:32
9th Avenue West,41.0,2019-09-12 17:47:32
North Cannon,54.0,2019-09-12 17:47:32
South Cannon,48.0,2019-09-12 17:47:32
Ohio Union North,35.0,2019-09-12 17:47:32
Ohio Union South,26.0,2019-09-12 17:47:32
Gateway,44.0,2019-09-12 17:47:32
11th Avenue,34.0,2019-09-12 17:47:32
Neil Avenue,39.0,2019-09-12 17:47:32
Tuttle,41.0,2019-09-12 17:47:32
Northwest,33.0,2019-09-12 17:47:32
Arps Hall,39.0,2019-09-12 17:47:32
Lane Avenue,46.0,2019-09-12 17:47:32
West Lane Avenue,48.0,2019-09-12 17:47:32
Carmack Lot - 1,22.0,2019-09-12 17:47:32
Carmack Lot - 2/3,15.0,2019-09-12 17:47:32
Carmack Lot - 4,22.0,2019-09-12 17:47:32
Carmack Lot - 5,51.0,2019-09-12 17:47:32
Buckeye Lot,28.0,2019-09-12 17:47:32
SAFEAUTO,36.0,2019-09-12 19:48:16
12th Avenue,76.0,2019-09-12 19:48:16
9th Avenue East,20.0,2019-09-12 19:48:16
9th Avenue West,19.0,2019-09-12 19:48:16
North Cannon,51.0,2019-09-12 19:48:16
South Cannon,38.0,2019-09-12 19:48:16
Ohio Union North,7.0,2019-09-12 19:48:16
Ohio Union South,12.0,2019-09-12 19:48:16
Gateway,44.0,2019-09-12 19:48:16
11th Avenue,17.0,2019-09-12 19:48:16
Neil Avenue,15.0,2019-09-12 19:48:16
Tuttle,18.0,2019-09-12 19:48:16
Northwest,7.0,2019-09-12 19:48:16
Arps Hall,20.0,2019-09-12 19:48:16
Lane Avenue,34.0,2019-09-12 19:48:16
West Lane Avenue,47.0,2019-09-12 19:48:16
Carmack Lot - 1,9.0,2019-09-12 19:48:16
Carmack Lot - 2/3,3.0,2019-09-12 19:48:16
Carmack Lot - 4,13.0,2019-09-12 19:48:16
Carmack Lot - 5,29.0,2019-09-12 19:48:16
Buckeye Lot,7.0,2019-09-12 19:48:16
SAFEAUTO,45.0,2019-09-12 18:47:54
12th Avenue,74.0,2019-09-12 18:47:54
9th Avenue East,34.0,2019-09-12 18:47:54
9th Avenue West,31.0,2019-09-12 18:47:54
North Cannon,57.0,2019-09-12 18:47:54
South Cannon,42.0,2019-09-12 18:47:54
Ohio Union North,17.0,2019-09-12 18:47:54
Ohio Union South,16.0,2019-09-12 18:47:54
Gateway,42.0,2019-09-12 18:47:54
11th Avenue,22.0,2019-09-12 18:47:54
Neil Avenue,29.0,2019-09-12 18:47:54
Tuttle,30.0,2019-09-12 18:47:54
Northwest,19.0,2019-09-12 18:47:54
Arps Hall,28.0,2019-09-12 18:47:54
Lane Avenue,41.0,2019-09-12 18:47:54
West Lane Avenue,46.0,2019-09-12 18:47:54
Carmack Lot - 1,18.0,2019-09-12 18:47:54
Carmack Lot - 2/3,13.0,2019-09-12 18:47:54
Carmack Lot - 4,19.0,2019-09-12 18:47:54
Carmack Lot - 5,39.0,2019-09-12 18:47:54
Buckeye Lot,16.0,2019-09-12 18:47:54
SAFEAUTO,76.0,2019-09-12 15:16:38
12th Avenue,80.0,2019-09-12 15:16:38
9th Avenue East,87.0,2019-09-12 15:16:38
9th Avenue West,93.0,2019-09-12 15:16:38
North Cannon,83.0,2019-09-12 15:16:38
South Cannon,70.0,2019-09-12 15:16:38
Ohio Union North,83.0,2019-09-12 15:16:38
Ohio Union South,46.0,2019-09-12 15:16:38
Gateway,59.0,2019-09-12 15:16:38
11th Avenue,89.0,2019-09-12 15:16:38
Neil Avenue,87.0,2019-09-12 15:16:38
Tuttle,87.0,2019-09-12 15:16:38
Northwest,90.0,2019-09-12 15:16:38
Arps Hall,75.0,2019-09-12 15:16:38
Lane Avenue,78.0,2019-09-12 15:16:38
West Lane Avenue,53.0,2019-09-12 15:16:38
Carmack Lot - 1,78.0,2019-09-12 15:16:38
Carmack Lot - 2/3,61.0,2019-09-12 15:16:38
Carmack Lot - 4,85.0,2019-09-12 15:16:38
Carmack Lot - 5,88.0,2019-09-12 15:16:38
Buckeye Lot,74.0,2019-09-12 15:16:38
SAFEAUTO,27.0,2019-09-12 20:48:38
